
="",="(1)",="(2)",="(3)",="(4)"
="",="Number of deaths",="Number of deaths",="Number of divorces",="Number of divorces"

="Number of marriages",="-0.0849",="",="0.260***",="0.190**"
="",="(0.0520)",="",="(0.0597)",="(0.0593)"

="Population",="0.00949***",="",="0.00271***",="0.00342***"
="",="(0.000497)",="",="(0.000571)",="(0.000572)"

="Urban population",="",="0.00992***",="",=""
="",="",="(0.000347)",="",=""

="NE",="",="",="",="0"
="",="",="",="",="(.)"

="N Cntrl",="",="",="",="6362.7*"
="",="",="",="",="(3085.9)"

="South",="",="",="",="9215.6**"
="",="",="",="",="(3061.1)"

="West",="",="",="",="9627.3**"
="",="",="",="",="(3180.5)"

="Constant",="650.9",="6464.6***",="-963.3",="-7786.2**"
="",="(1347.4)",="(1819.7)",="(1547.9)",="(2591.7)"

="Observations",="50",="50",="50",="50"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
