
="",="(1)",="(2)",="(3)",="(4)"
="",="Number of deaths",="Number of deaths",="Number of divorces",="Number of divorces"

="Number of marriages",="-0.0849",="",="0.260***",="0.190**"
="",="(0.0520)",="",="(0.0597)",="(0.0593)"

="Population",="0.00949***",="",="0.00271***",="0.00342***"
="",="(0.000497)",="",="(0.000571)",="(0.000572)"

="Urban population",="",="0.00992***",="",=""
="",="",="(0.000347)",="",=""

="Constant",="650.9",="6464.6***",="-963.3",="-7786.2**"
="",="(1347.4)",="(1819.7)",="(1547.9)",="(2591.7)"

="Observations",="50",="50",="50",="50"
="Region controls",="No",="No",="No",="Yes"

="Standard errors in parentheses"
="Add a note here."
="Other custom note here."
="* p<0.05, ** p<0.01, *** p<0.001"
